
List of user-set options:

                                    Name   Value                used
                         acceptable_iter = 15                    yes
                          acceptable_tol = 1e-05                 yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 3000                  yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/alfiyandyhr/Github_Repos/atomics/atomics/examples/case_2_hyperelastic_cantilever_beam/run_hyperelastic_cantilever_beam_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 1e-06                 yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:     3600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3600
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     3600
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.4626146e+00 0.00e+00 3.69e-03 -11.0 3.69e-03    -  1.00e+00 5.51e-02f  1
  51  1.4625252e+00 0.00e+00 3.19e-03 -11.0 3.19e-03    -  1.00e+00 1.08e-01f  1
  52  1.4624552e+00 0.00e+00 3.19e-03 -11.0 3.19e-03    -  1.00e+00 8.58e-02f  1
  53  1.4623343e+00 0.00e+00 3.19e-03 -11.0 3.19e-03    -  1.00e+00 1.50e-01f  1
  54  1.4622542e+00 0.00e+00 3.20e-03 -11.0 3.19e-03    -  1.00e+00 9.98e-02f  1
  55  1.4622103e+00 0.00e+00 3.20e-03 -10.4 3.20e-03    -  1.00e+00 5.50e-02f  1
  56  1.4621313e+00 0.00e+00 3.20e-03 -11.0 3.20e-03    -  1.00e+00 9.92e-02f  1
  57  1.4619972e+00 0.00e+00 3.20e-03 -11.0 3.20e-03    -  1.00e+00 1.70e-01f  1
  58  1.4619810e+00 0.00e+00 3.19e-03 -11.0 3.19e-03    -  1.00e+00 2.05e-02f  1
  59  1.4618917e+00 0.00e+00 3.15e-03 -11.0 3.15e-03    -  1.00e+00 1.14e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.4618510e+00 0.00e+00 3.11e-03 -11.0 3.11e-03    -  1.00e+00 5.22e-02f  1
  61  1.4617363e+00 0.00e+00 3.11e-03 -11.0 3.11e-03    -  1.00e+00 1.49e-01f  1
  62  1.4614145e+00 0.00e+00 3.11e-03 -11.0 3.11e-03    -  1.00e+00 4.19e-01f  1
  63  1.4614133e+00 0.00e+00 3.11e-03 -11.0 3.11e-03    -  1.00e+00 1.52e-03f  1
  64  1.4613528e+00 0.00e+00 3.11e-03 -11.0 3.11e-03    -  1.00e+00 7.93e-02f  1
  65  1.4613323e+00 0.00e+00 3.10e-03 -11.0 3.10e-03    -  1.00e+00 2.69e-02f  1
  66  1.4612611e+00 0.00e+00 3.02e-03 -11.0 3.02e-03    -  1.00e+00 9.36e-02f  1
  67  1.4612079e+00 0.00e+00 3.02e-03 -11.0 3.02e-03    -  1.00e+00 7.08e-02f  1
  68  1.4609911e+00 0.00e+00 3.02e-03 -11.0 3.02e-03    -  1.00e+00 2.88e-01f  1
  69  1.4609893e+00 0.00e+00 3.02e-03 -11.0 3.02e-03    -  1.00e+00 2.50e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.4607600e+00 0.00e+00 3.03e-03 -11.0 3.02e-03    -  1.00e+00 3.07e-01f  1
  71  1.4607585e+00 0.00e+00 3.01e-03 -11.0 3.01e-03    -  1.00e+00 1.91e-03f  1
  72  1.4607169e+00 0.00e+00 2.93e-03 -11.0 2.93e-03    -  1.00e+00 5.61e-02f  1
  73  1.4606666e+00 0.00e+00 2.93e-03 -11.0 2.93e-03    -  1.00e+00 6.86e-02f  1
  74  1.4605945e+00 0.00e+00 2.93e-03 -11.0 2.93e-03    -  1.00e+00 9.84e-02f  1
  75  1.4605439e+00 0.00e+00 2.93e-03 -11.0 2.93e-03    -  1.00e+00 6.95e-02f  1
  76  1.4603016e+00 0.00e+00 2.93e-03 -11.0 2.93e-03    -  1.00e+00 3.34e-01f  1
  77  1.4602584e+00 0.00e+00 2.92e-03 -11.0 2.92e-03    -  1.00e+00 5.95e-02f  1
  78  1.4602550e+00 0.00e+00 2.84e-03 -11.0 2.84e-03    -  1.00e+00 4.75e-03f  1
  79  1.4601411e+00 0.00e+00 2.84e-03 -11.0 2.84e-03    -  1.00e+00 1.59e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.4601167e+00 0.00e+00 2.84e-03 -11.0 2.84e-03    -  1.00e+00 3.42e-02f  1
  81  1.4599480e+00 0.00e+00 2.84e-03 -11.0 2.84e-03    -  1.00e+00 2.39e-01f  1
  82  1.4598700e+00 0.00e+00 2.83e-03 -11.0 2.83e-03    -  1.00e+00 1.10e-01f  1
  83  1.4598671e+00 0.00e+00 2.74e-03 -11.0 2.74e-03    -  1.00e+00 4.09e-03f  1
  84  1.4597619e+00 0.00e+00 2.74e-03 -11.0 2.74e-03    -  1.00e+00 1.50e-01f  1
  85  1.4597164e+00 0.00e+00 2.74e-03 -11.0 2.74e-03    -  1.00e+00 6.52e-02f  1
  86  1.4596561e+00 0.00e+00 2.74e-03 -11.0 2.74e-03    -  1.00e+00 8.63e-02f  1
  87  1.4595827e+00 0.00e+00 2.74e-03 -11.0 2.74e-03    -  1.00e+00 1.06e-01f  1
  88  1.4594937e+00 0.00e+00 2.70e-03 -11.0 2.70e-03    -  1.00e+00 1.28e-01f  1
  89  1.4594811e+00 0.00e+00 2.65e-03 -10.9 2.65e-03    -  1.00e+00 1.84e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.4592762e+00 0.00e+00 2.65e-03 -11.0 2.65e-03    -  1.00e+00 3.00e-01f  1
  91  1.4591634e+00 0.00e+00 2.65e-03 -11.0 2.65e-03    -  1.00e+00 1.65e-01f  1
  92  1.4591621e+00 0.00e+00 2.65e-03 -11.0 2.65e-03    -  1.00e+00 1.88e-03f  1
  93  1.4590648e+00 0.00e+00 2.63e-03 -11.0 2.63e-03    -  1.00e+00 1.43e-01f  1
  94  1.4590593e+00 0.00e+00 2.55e-03 -11.0 2.55e-03    -  1.00e+00 8.16e-03f  1
  95  1.4589120e+00 0.00e+00 2.56e-03 -11.0 2.55e-03    -  1.00e+00 2.19e-01f  1
  96  1.4588989e+00 0.00e+00 2.56e-03 -11.0 2.56e-03    -  1.00e+00 1.94e-02f  1
  97  1.4587807e+00 0.00e+00 2.56e-03 -11.0 2.56e-03    -  1.00e+00 1.76e-01f  1
  98  1.4587704e+00 0.00e+00 2.56e-03 -11.0 2.56e-03    -  1.00e+00 1.55e-02f  1
  99  1.4586568e+00 0.00e+00 2.56e-03 -11.0 2.56e-03    -  1.00e+00 1.70e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.4586127e+00 0.00e+00 2.54e-03 -10.9 2.54e-03    -  1.00e+00 6.63e-02f  1
 101  1.4585753e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 5.64e-02f  1
 102  1.4585035e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.09e-01f  1
 103  1.4584214e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.26e-01f  1
 104  1.4581750e+00 0.00e+00 2.47e-03 -10.3 2.46e-03    -  1.00e+00 3.76e-01f  1
 105  1.4581695e+00 0.00e+00 2.47e-03 -11.0 2.47e-03    -  1.00e+00 8.39e-03f  1
 106  1.4581127e+00 0.00e+00 2.46e-03 -10.9 2.46e-03    -  1.00e+00 8.71e-02f  1
 107  1.4580862e+00 0.00e+00 2.40e-03 -10.3 2.40e-03    -  1.00e+00 4.09e-02f  1
 108  1.4580419e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 6.86e-02f  1
 109  1.4579399e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 1.60e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.4579168e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 3.65e-02f  1
 111  1.4578039e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 1.78e-01f  1
 112  1.4577804e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 3.73e-02f  1
 113  1.4576888e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.45e-01f  1
 114  1.4576546e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 5.46e-02f  1
 115  1.4575788e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.22e-01f  1
 116  1.4574899e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.44e-01f  1
 117  1.4574545e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 5.72e-02f  1
 118  1.4573885e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.08e-01f  1
 119  1.4573033e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.4572260e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.27e-01f  1
 121  1.4572105e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 2.56e-02f  1
 122  1.4571471e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.05e-01f  1
 123  1.4570599e+00 0.00e+00 2.42e-03 -10.6 2.42e-03    -  1.00e+00 1.45e-01f  1
 124  1.4567723e+00 0.00e+00 2.43e-03 -11.0 2.42e-03    -  1.00e+00 4.79e-01f  1
 125  1.4567714e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 1.45e-03f  1
 126  1.4567394e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 5.34e-02f  1
 127  1.4567137e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 4.31e-02f  1
 128  1.4566039e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 1.84e-01f  1
 129  1.4565878e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 2.71e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.4564194e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 2.83e-01f  1
 131  1.4564169e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 4.14e-03f  1
 132  1.4561607e+00 0.00e+00 2.44e-03 -11.0 2.43e-03    -  1.00e+00 4.31e-01f  1
 133  1.4561599e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 1.28e-03f  1
 134  1.4561085e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 8.69e-02f  1
 135  1.4560977e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 1.85e-02f  1
 136  1.4559707e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 2.16e-01f  1
 137  1.4559641e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 1.11e-02f  1
 138  1.4557049e+00 0.00e+00 2.45e-03 -11.0 2.44e-03    -  1.00e+00 4.41e-01f  1
 139  1.4557037e+00 0.00e+00 2.45e-03 -11.0 2.45e-03    -  1.00e+00 2.19e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.4556338e+00 0.00e+00 2.45e-03 -11.0 2.45e-03    -  1.00e+00 1.19e-01f  1
 141  1.4556247e+00 0.00e+00 2.45e-03 -11.0 2.45e-03    -  1.00e+00 1.56e-02f  1
 142  1.4555219e+00 0.00e+00 2.45e-03 -11.0 2.45e-03    -  1.00e+00 1.75e-01f  1
 143  1.4555137e+00 0.00e+00 2.45e-03 -11.0 2.45e-03    -  1.00e+00 1.41e-02f  1
 144  1.4550926e+00 0.00e+00 2.46e-03 -11.0 2.45e-03    -  1.00e+00 7.20e-01f  1
 145  1.4550915e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.86e-03f  1
 146  1.4550840e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.30e-02f  1
 147  1.4550254e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.01e-01f  1
 148  1.4550178e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.34e-02f  1
 149  1.4549362e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.4548567e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.39e-01f  1
 151  1.4548455e+00 0.00e+00 2.46e-03 -11.0 2.46e-03    -  1.00e+00 1.96e-02f  1
 152  1.4545438e+00 0.00e+00 2.47e-03 -11.0 2.46e-03    -  1.00e+00 5.31e-01f  1
 153  1.4545430e+00 0.00e+00 2.47e-03 -11.0 2.47e-03    -  1.00e+00 1.49e-03f  1
 154  1.4544561e+00 0.00e+00 2.47e-03 -11.0 2.47e-03    -  1.00e+00 1.53e-01f  1
 155  1.4544549e+00 0.00e+00 2.47e-03 -11.0 2.47e-03    -  1.00e+00 2.26e-03f  1
 156  1.4543362e+00 0.00e+00 2.47e-03 -11.0 2.47e-03    -  1.00e+00 2.11e-01f  1
 157  1.4541639e+00 0.00e+00 2.48e-03 -11.0 2.47e-03    -  1.00e+00 3.06e-01f  1
 158  1.4541632e+00 0.00e+00 2.48e-03 -11.0 2.48e-03    -  1.00e+00 1.24e-03f  1
 159  1.4540261e+00 0.00e+00 2.48e-03 -11.0 2.48e-03    -  1.00e+00 2.44e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.4540255e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 1.20e-03f  1
 161  1.4539488e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 1.38e-01f  1
 162  1.4539380e+00 0.00e+00 2.40e-03 -11.0 2.40e-03    -  1.00e+00 1.96e-02f  1
 163  1.4538483e+00 0.00e+00 2.41e-03 -11.0 2.40e-03    -  1.00e+00 1.62e-01f  1
 164  1.4538324e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 2.90e-02f  1
 165  1.4537345e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.78e-01f  1
 166  1.4537160e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 3.38e-02f  1
 167  1.4536453e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.29e-01f  1
 168  1.4535864e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 1.08e-01f  1
 169  1.4535466e+00 0.00e+00 2.41e-03 -11.0 2.41e-03    -  1.00e+00 7.33e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.4533591e+00 0.00e+00 2.42e-03 -11.0 2.41e-03    -  1.00e+00 3.45e-01f  1
 171  1.4533581e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.95e-03f  1
 172  1.4532937e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.19e-01f  1
 173  1.4532614e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 5.97e-02f  1
 174  1.4532195e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 7.77e-02f  1
 175  1.4531767e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 8.00e-02f  1
 176  1.4531129e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.20e-01f  1
 177  1.4530471e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 1.24e-01f  1
 178  1.4529954e+00 0.00e+00 2.42e-03 -11.0 2.42e-03    -  1.00e+00 9.74e-02f  1
 179  1.4528351e+00 0.00e+00 2.43e-03 -11.0 2.42e-03    -  1.00e+00 3.02e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.4528339e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 2.36e-03f  1
 181  1.4527327e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 1.92e-01f  1
 182  1.4527290e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 6.87e-03f  1
 183  1.4526169e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 2.13e-01f  1
 184  1.4526120e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 9.32e-03f  1
 185  1.4524856e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 2.40e-01f  1
 186  1.4524810e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 8.89e-03f  1
 187  1.4524315e+00 0.00e+00 2.43e-03 -11.0 2.43e-03    -  1.00e+00 9.45e-02f  1
 188  1.4523260e+00 0.00e+00 2.44e-03 -11.0 2.43e-03    -  1.00e+00 2.02e-01f  1
 189  1.4523137e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 2.37e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.4520881e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 4.33e-01f  1
 191  1.4518699e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 4.18e-01f  1
 192  1.4518693e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 1.12e-03f  1
 193  1.4518195e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 9.55e-02f  1
 194  1.4518154e+00 0.00e+00 2.44e-03 -11.0 2.44e-03    -  1.00e+00 8.00e-03f  1
 195  1.4515153e+00 0.00e+00 2.45e-03 -11.0 2.44e-03    -  1.00e+00 5.77e-01f  1
 196  1.4515146e+00 0.00e+00 2.36e-03 -11.0 2.36e-03    -  1.00e+00 1.46e-03f  1
 197  1.4514793e+00 0.00e+00 2.23e-03 -11.0 2.23e-03    -  1.00e+00 6.86e-02f  1
 198  1.4512901e+00 0.00e+00 2.23e-03 -11.0 2.23e-03    -  1.00e+00 3.67e-01f  1
 199  1.4512895e+00 0.00e+00 2.23e-03 -11.0 2.23e-03    -  1.00e+00 1.11e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.4512466e+00 0.00e+00 2.24e-03 -11.0 2.23e-03    -  1.00e+00 8.36e-02f  1
 201  1.4512359e+00 0.00e+00 2.24e-03 -11.0 2.24e-03    -  1.00e+00 2.09e-02f  1
 202  1.4510348e+00 0.00e+00 2.24e-03 -11.0 2.24e-03    -  1.00e+00 3.94e-01f  1
 203  1.4510339e+00 0.00e+00 2.24e-03 -11.0 2.24e-03    -  1.00e+00 1.89e-03f  1
 204  1.4508898e+00 0.00e+00 2.24e-03 -11.0 2.24e-03    -  1.00e+00 2.83e-01f  1
 205  1.4508887e+00 0.00e+00 2.24e-03 -11.0 2.24e-03    -  1.00e+00 2.05e-03f  1
 206  1.4503792e+00 0.00e+00 2.25e-03 -11.0 2.24e-03    -  1.00e+00 1.00e+00f  1
