
List of user-set options:

                                    Name   Value                used
                         acceptable_iter = 15                    yes
                          acceptable_tol = 1e-05                 yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 3000                  yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/alfiyandyhr/Github_Repos/atomics/atomics/examples/case_2_hyperelastic_cantilever_beam/run_hyperelastic_cantilever_beam_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 1e-06                 yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:     3600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3600
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     3600
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.0980484e+00 0.00e+00 1.40e-02   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.0973846e+00 2.12e-05 6.22e-03  -2.2 1.00e-02    -  9.97e-01 9.88e-01h  1
   2  2.0609374e+00 0.00e+00 6.11e-04  -2.9 1.21e-01    -  9.94e-01 1.00e+00f  1
   3  1.9323898e+00 0.00e+00 2.78e-03  -3.5 3.67e-01    -  9.94e-01 1.00e+00f  1
   4  1.7513410e+00 0.00e+00 4.00e-03  -4.0 4.21e-01    -  8.89e-01 6.96e-01f  1
   5  1.6137038e+00 0.00e+00 3.57e-03  -4.2 4.75e-01    -  9.84e-01 7.24e-01f  1
   6  1.5224516e+00 0.00e+00 3.27e-03  -4.4 4.63e-01    -  9.97e-01 7.43e-01f  1
   7  1.7833077e+00 0.00e+00 4.49e-03  -3.1 3.49e+00    -  6.65e-01 1.93e-01f  1
   8  1.7414373e+00 0.00e+00 2.18e-03  -3.5 5.62e-01    -  9.64e-01 9.73e-01f  1
   9  1.6057341e+00 0.00e+00 3.37e-03  -5.2 3.25e-01    -  6.35e-01 7.66e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.5199440e+00 0.00e+00 3.40e-03  -5.2 3.75e-01    -  6.80e-01 5.93e-01f  1
  11  1.4735560e+00 0.00e+00 4.22e-03  -4.9 4.31e-01    -  9.94e-01 4.74e-01f  1
  12  1.4721340e+00 0.00e+00 3.71e-03  -6.6 3.69e-03    -  1.00e+00 5.87e-01f  1
  13  1.4699739e+00 0.00e+00 4.20e-03  -8.0 4.16e-03    -  1.00e+00 8.70e-01f  1
  14  1.4687307e+00 0.00e+00 4.05e-03  -9.5 4.01e-03    -  1.00e+00 5.86e-01f  1
  15  1.4680551e+00 0.00e+00 4.13e-03 -11.0 4.10e-03    -  1.00e+00 3.62e-01f  1
  16  1.4674561e+00 0.00e+00 4.17e-03 -11.0 4.15e-03    -  1.00e+00 3.51e-01f  1
  17  1.4670012e+00 0.00e+00 4.17e-03 -11.0 4.16e-03    -  1.00e+00 2.83e-01f  1
  18  1.4666247e+00 0.00e+00 4.19e-03 -11.0 4.18e-03    -  1.00e+00 2.44e-01f  1
  19  1.4663161e+00 0.00e+00 4.19e-03 -11.0 4.19e-03    -  1.00e+00 2.09e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.4660225e+00 0.00e+00 4.18e-03 -11.0 4.17e-03    -  1.00e+00 2.05e-01f  1
  21  1.4658084e+00 0.00e+00 4.16e-03 -11.0 4.16e-03    -  1.00e+00 1.53e-01f  1
  22  1.4655853e+00 0.00e+00 4.17e-03 -11.0 4.17e-03    -  1.00e+00 1.62e-01f  1
  23  1.4653474e+00 0.00e+00 4.18e-03 -11.0 4.17e-03    -  1.00e+00 1.79e-01f  1
  24  1.4651964e+00 0.00e+00 4.17e-03 -11.0 4.17e-03    -  1.00e+00 1.15e-01f  1
  25  1.4650575e+00 0.00e+00 4.12e-03 -11.0 4.11e-03    -  1.00e+00 1.08e-01f  1
  26  1.4649046e+00 0.00e+00 4.13e-03 -11.0 4.12e-03    -  1.00e+00 1.22e-01f  1
  27  1.4647615e+00 0.00e+00 4.13e-03 -11.0 4.13e-03    -  1.00e+00 1.19e-01f  1
  28  1.4646352e+00 0.00e+00 4.14e-03 -11.0 4.14e-03    -  1.00e+00 1.07e-01f  1
  29  1.4645089e+00 0.00e+00 4.15e-03 -11.0 4.14e-03    -  1.00e+00 1.09e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.4644184e+00 0.00e+00 4.15e-03 -11.0 4.14e-03    -  1.00e+00 7.94e-02f  1
  31  1.4643254e+00 0.00e+00 4.12e-03 -11.0 4.11e-03    -  1.00e+00 8.32e-02f  1
  32  1.4642184e+00 0.00e+00 4.07e-03 -11.0 4.07e-03    -  1.00e+00 9.73e-02f  1
  33  1.4641286e+00 0.00e+00 4.08e-03 -11.0 4.07e-03    -  1.00e+00 8.35e-02f  1
  34  1.4640072e+00 0.00e+00 4.08e-03  -9.9 4.08e-03    -  1.00e+00 1.15e-01f  1
  35  1.4639254e+00 0.00e+00 4.08e-03 -11.0 4.08e-03    -  1.00e+00 7.75e-02f  1
  36  1.4637948e+00 0.00e+00 4.09e-03 -11.0 4.08e-03    -  1.00e+00 1.25e-01f  1
  37  1.4637660e+00 0.00e+00 4.08e-03 -11.0 4.08e-03    -  1.00e+00 2.77e-02f  1
  38  1.4636254e+00 0.00e+00 4.04e-03 -11.0 4.04e-03    -  1.00e+00 1.36e-01f  1
  39  1.4635938e+00 0.00e+00 4.00e-03  -9.9 4.00e-03    -  1.00e+00 3.15e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.4634612e+00 0.00e+00 4.01e-03 -11.0 4.01e-03    -  1.00e+00 1.35e-01f  1
  41  1.4633604e+00 0.00e+00 4.01e-03 -11.0 4.01e-03    -  1.00e+00 1.03e-01f  1
  42  1.4632774e+00 0.00e+00 4.01e-03 -11.0 4.01e-03    -  1.00e+00 8.54e-02f  1
  43  1.4631761e+00 0.00e+00 3.99e-03 -10.0 3.99e-03    -  1.00e+00 1.06e-01f  1
  44  1.4631034e+00 0.00e+00 3.92e-03 -11.0 3.92e-03    -  1.00e+00 7.66e-02f  1
  45  1.4630215e+00 0.00e+00 3.93e-03 -11.0 3.93e-03    -  1.00e+00 8.86e-02f  1
  46  1.4628981e+00 0.00e+00 3.92e-03 -11.0 3.92e-03    -  1.00e+00 1.36e-01f  1
  47  1.4628223e+00 0.00e+00 3.82e-03 -11.0 3.82e-03    -  1.00e+00 8.41e-02f  1
  48  1.4627717e+00 0.00e+00 3.80e-03 -11.0 3.80e-03    -  1.00e+00 5.80e-02f  1
  49  1.4626608e+00 0.00e+00 3.74e-03 -11.0 3.74e-03    -  1.00e+00 1.30e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
